,ticker,ebit_date,ebit,ass_tot_date,ass_tot,book_equ_date,book_equ,share_rep_date,share_rep
1,MRSN,2020-06-30,-19788000,2020-06-30,310517000.0,2020-06-30,273564000.0,2020-06-30,-3000.0
2,MRSN,2020-03-31,-17144000,2020-03-31,95858000.0,2020-03-31,63091000.0,2020-03-31,-3000.0
3,MRSN,2019-12-31,-16599000,2019-12-31,107541000.0,2019-12-31,78318000.0,2019-12-31,-3000.0
0,MDP,2020-09-30,94100000,2020-09-30,5601800000.0,2020-09-30,448500000.0,2020-09-30,-400000.0
1,MDP,2020-06-30,37700000,2020-06-30,5510100000.0,2020-06-30,388200000.0,2020-06-30,-400000.0
2,MDP,2020-03-31,94100000,2020-03-31,5664700000.0,2020-03-31,592100000.0,2020-03-31,-500000.0
3,MDP,2019-12-31,125900000,2019-12-31,6233200000.0,2019-12-31,930300000.0,2019-12-31,-2400000.0
0,YRD,2020-09-30,113366000,2020-09-30,8371355000.0,2020-09-30,4341035000.0,2020-09-30,
1,YRD,2020-06-30,-260236000,2020-06-30,8527624000.0,2020-06-30,4260173000.0,2020-06-30,
2,YRD,2020-03-31,11875000,2020-03-31,9076782000.0,2020-03-31,4484612000.0,2020-03-31,
